"pr_id","repo","author","created_at","merged_at","outcome","lines_changed","lines_changed_filtered","ai_assisted","ai_authored_bucket","human_reviewers","human_review_minutes","first_review_latency_minutes","automated_findings_count","rework_commits_count","collection_status","classification_reason","telemetry_version","query_timestamp"
"sorensencc-dotcom/kb-sync#10","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/16/2026 11:26:20 AM","9/16/2026 11:54:24 AM","merged","206","206","yes","76-100","devin-ai-integration,sorensencc-dotcom","7","5","0","2","ok","Signature match in commit: Co-Authored-By: Claude","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#11","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/16/2026 12:07:42 PM","9/16/2026 12:27:40 PM","merged","333","333","yes","76-100","devin-ai-integration,sorensencc-dotcom","11","15","0","1","ok","Signature match in commit: Co-Authored-By: Claude","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#12","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/16/2026 12:33:19 PM","9/16/2026 12:56:43 PM","merged","200","200","yes","76-100","devin-ai-integration,sorensencc-dotcom","7","20","0","1","ok","Signature match in commit: Co-Authored-By: Claude","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#13","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/16/2026 1:06:09 PM","9/16/2026 1:57:21 PM","merged","92","92","yes","76-100","devin-ai-integration,sorensencc-dotcom","5","47","0","1","ok","Signature match in commit: Co-Authored-By: Claude","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#14","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/16/2026 2:05:40 PM","9/16/2026 2:07:18 PM","merged","151","151","yes","76-100","devin-ai-integration","5","2","0","0","ok","Signature match in commit: Co-Authored-By: Claude","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#15","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/16/2026 2:09:02 PM","9/16/2026 2:14:52 PM","merged","42","42","yes","26-50","devin-ai-integration","5","6","0","0","ok","Signature match in commit: Co-Authored-By: Claude","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#16","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/17/2026 11:50:53 AM","9/17/2026 12:31:13 PM","merged","356","356","yes","76-100","devin-ai-integration,sorensencc-dotcom","12","30","0","2","ok","Signature match in commit: Co-Authored-By: Claude","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#17","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/17/2026 1:28:32 PM","9/17/2026 1:50:12 PM","merged","86","86","yes","76-100","devin-ai-integration,sorensencc-dotcom","5","9","0","1","ok","Signature match in commit: Co-Authored-By: Claude","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#18","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/17/2026 1:34:30 PM","9/17/2026 10:54:29 PM","merged","146","146","yes","76-100","devin-ai-integration,sorensencc-dotcom","5","20","0","2","ok","Signature match in commit: Co-Authored-By: Claude","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#19","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/18/2026 2:46:55 PM","9/18/2026 9:57:54 PM","merged","1634","1634","yes","76-100","devin-ai-integration,sorensencc-dotcom","54","11","0","11","ok","Signature match in commit: Co-Authored-By: Claude","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#3","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/6/2026 11:07:21 PM","9/6/2026 11:18:02 PM","merged","70","70","no","0","",,,"0","0","ok","No AI signature detected","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#4","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/6/2026 11:29:40 PM","9/6/2026 11:36:43 PM","merged","114","114","no","0","",,,"0","0","ok","No AI signature detected","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#5","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/6/2026 11:40:13 PM","9/6/2026 11:45:35 PM","merged","485","485","no","0","",,,"0","0","ok","No AI signature detected","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#6","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/6/2026 11:49:31 PM","9/6/2026 11:56:35 PM","merged","139","139","no","0","",,,"0","0","ok","No AI signature detected","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#7","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/7/2026 12:21:43 AM","9/7/2026 12:43:13 AM","merged","432","432","no","0","",,,"0","0","ok","No AI signature detected","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#8","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/7/2026 3:47:01 PM","9/7/2026 3:51:13 PM","merged","198","198","no","0","",,,"0","0","ok","No AI signature detected","1.0","2026-09-19T00:52:33Z"
"sorensencc-dotcom/kb-sync#9","sorensencc-dotcom/kb-sync","sorensencc-dotcom","9/16/2026 2:15:04 AM","9/16/2026 2:27:00 AM","merged","73","73","yes","51-75","devin-ai-integration","5","13","0","0","ok","Signature match in commit: Co-Authored-By: Claude","1.0","2026-09-19T00:52:33Z"
